epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,69816,2.95264,2.87627,2.66844,0.5421,0.49,0.52548,0.30995,3.16956,3.19258,2.7902,0.001882,0.001882,0.001882
125,70373.4,2.93973,2.8892,2.65777,0.53525,0.49346,0.52611,0.31042,3.17135,3.18811,2.79017,0.001816,0.001816,0.001816
126,70925.8,2.93965,2.86828,2.65878,0.53224,0.50213,0.5263,0.31078,3.17381,3.18531,2.7905,0.00175,0.00175,0.00175
127,71479.4,2.9254,2.87411,2.64811,0.52019,0.50767,0.52831,0.3108,3.17508,3.18346,2.79077,0.001684,0.001684,0.001684
128,72032.8,2.92535,2.85685,2.6507,0.53077,0.51101,0.52939,0.31112,3.17793,3.18012,2.79134,0.001618,0.001618,0.001618
129,72585.4,2.90796,2.81746,2.64593,0.52386,0.51332,0.52973,0.31145,3.17705,3.18072,2.79042,0.001552,0.001552,0.001552
130,73138.5,2.89641,2.81065,2.63353,0.52535,0.51332,0.53037,0.3121,3.17876,3.17856,2.79052,0.001486,0.001486,0.001486
131,73691,2.89827,2.79727,2.63432,0.52642,0.5134,0.53052,0.3125,3.18037,3.17692,2.7913,0.00142,0.00142,0.00142
132,74244.4,2.88821,2.77869,2.62468,0.52346,0.51258,0.53098,0.31275,3.18202,3.17764,2.7917,0.001354,0.001354,0.001354
133,74797.5,2.86139,2.74765,2.60823,0.52505,0.51243,0.53104,0.31299,3.18436,3.1752,2.79224,0.001288,0.001288,0.001288
134,75351.7,2.8705,2.74357,2.60763,0.53615,0.50852,0.53143,0.31316,3.18664,3.17396,2.79293,0.001222,0.001222,0.001222
135,75905.6,2.87074,2.75109,2.61525,0.53708,0.50832,0.53142,0.31309,3.18706,3.17454,2.79381,0.001156,0.001156,0.001156
136,76459.9,2.84135,2.68527,2.60248,0.53669,0.50949,0.53145,0.31326,3.18872,3.17453,2.79396,0.00109,0.00109,0.00109
137,77014.5,2.84905,2.69272,2.60597,0.54145,0.50657,0.53111,0.31246,3.19112,3.17366,2.79527,0.001024,0.001024,0.001024
138,77569.5,2.83876,2.6887,2.5947,0.54398,0.50507,0.53156,0.31202,3.19549,3.17171,2.7971,0.000958,0.000958,0.000958
139,78125.8,2.81349,2.65782,2.58826,0.54397,0.50629,0.53204,0.31214,3.2008,3.1676,2.79978,0.000892,0.000892,0.000892
140,78682,2.80735,2.66315,2.58101,0.5484,0.50659,0.53281,0.31234,3.20367,3.16653,2.80116,0.000826,0.000826,0.000826
141,79257.4,2.72645,2.27362,2.57074,0.55023,0.50825,0.53353,0.31242,3.2076,3.16603,2.8041,0.00076,0.00076,0.00076
142,79809.2,2.70076,2.22021,2.56053,0.54365,0.51155,0.534,0.31268,3.21164,3.16673,2.80583,0.000694,0.000694,0.000694
143,80362.3,2.69297,2.20751,2.55625,0.54385,0.51236,0.53452,0.31171,3.21531,3.16715,2.80796,0.000628,0.000628,0.000628
144,80915.9,2.66336,2.16281,2.54312,0.54882,0.51283,0.53588,0.31233,3.21812,3.16848,2.80956,0.000562,0.000562,0.000562
145,81469.5,2.65968,2.14528,2.53912,0.55418,0.51296,0.53635,0.31237,3.2231,3.16722,2.81311,0.000496,0.000496,0.000496
146,82021.8,2.63681,2.10993,2.51429,0.55404,0.51391,0.53313,0.31164,3.22596,3.17082,2.81525,0.00043,0.00043,0.00043
147,82574.5,2.61948,2.09291,2.5077,0.56054,0.50758,0.53325,0.31159,3.23066,3.17276,2.8172,0.000364,0.000364,0.000364
148,83126.7,2.61013,2.0853,2.50899,0.56004,0.5135,0.53398,0.31181,3.23548,3.17348,2.82031,0.000298,0.000298,0.000298
149,83678.7,2.60404,2.06671,2.50263,0.5675,0.51418,0.53231,0.31233,3.24011,3.17512,2.82168,0.000232,0.000232,0.000232
150,84230.4,2.58566,2.04993,2.49125,0.57234,0.51308,0.53334,0.31313,3.2448,3.17724,2.82443,0.000166,0.000166,0.000166
